id,password,second_name,first_name,birthdate,city
2d59cb74-5598-4025-94ee-130374723499,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Роберт,2012-01-01,Воткинск
d33045e7-03fd-401d-8b98-d84094bab2d9,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Александр,1916-01-01,Домодедово
ac65072d-ccba-43b1-832b-047cc0bc0852,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Илья,1912-01-01,Севастополь
07d861c2-92b0-414a-b9ab-17c105b97592,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Даниил,1918-01-01,Ржев
476b7eae-c072-4306-839b-a3a9ec80c755,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Лев,2007-01-01,Когалым
b3f80ce2-2e8c-46de-9402-f964be142aae,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Игорь,2009-01-01,Дзержинск
89204f8a-4be6-47f2-87ea-1ac5cca82728,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Никита,1981-01-01,Балашов
3238dd90-40f4-4a9b-8f46-62be7c65e26a,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Юрий,1935-01-01,Серпухов
875e1427-d313-49b6-aecb-ce630c5fb0ce,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Егор,1962-01-01,Ногинск
5ad9ea64-a59b-4c45-803c-99d777941743,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Всеволод,1906-01-01,Новомосковск
68f317d1-0e68-4f91-9ea9-e18809e87d05,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Демид,1928-01-01,Обнинск
0850a8f2-d6fe-4ae6-b384-cb0573ddb324,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Александр,1915-01-01,Омск
4bddc566-41e2-4ae8-91ab-3c6f92bb9410,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Лука,1916-01-01,Лесосибирск
fb10cefb-02ba-43ca-bc6c-984a247bfa78,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Дмитрий,1986-01-01,Хасавюрт
190f9afd-13fb-4e1b-8e87-0184bd1f4f9c,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Александр,1923-01-01,Красноярск
38024905-125c-425b-8139-ac100d143a18,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Иван,2002-01-01,Барнаул
71b6728c-7d81-4651-bc9e-d7d5cfaaac6b,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Лука,1986-01-01,Магадан
fb24fa00-2250-4975-9116-64cfbe3706ac,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Георгий,1994-01-01,Волжск
f47c1ac6-b0c6-48cb-90e8-40517740302e,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Александр,1946-01-01,Энгельс
ab484e09-3fc2-4f41-85e6-b503762ff43a,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Ярослав,1968-01-01,Севастополь
79e8f63f-c6fb-4746-b85b-e66fb5541358,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Платон,1930-01-01,Искитим
d5f505f4-b807-48fd-9645-eb5553a378d3,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Тимофей,1909-01-01,Лиски
4f8ab1cb-fd34-4061-bf59-96af96fb0eb5,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Мирослав,2000-01-01,Челябинск
256510ed-c542-4769-982c-4b9215e8dc7c,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Кирилл,1975-01-01,Елец
18a18a2a-4fd1-46b5-b83e-38e97e87630d,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Евгений,1964-01-01,Междуреченск
782f05cb-be87-4ef6-8847-081c9907a409,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Александр,1976-01-01,Верхняя Пышма
4776ff25-7186-4085-a6e0-a44194f2de45,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Роман,1994-01-01,Ленинск-Кузнецкий
76358bc6-5d34-42e7-95a7-a3bfeddf326c,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Антон,1973-01-01,Ижевск
e66a84e2-e24d-4fd9-bc09-52fa21e2411c,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Николай,1945-01-01,Красноярск
ccfe2ec4-e678-43c4-b2a4-15f59d97a5db,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Андрей,1980-01-01,Южно-Сахалинск
b5ec743a-ba2f-47ca-8243-f426a67ba0f8,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Савва,1932-01-01,Томск
7ff702e2-1c75-40c5-bb97-aac6608b30c5,$2a$10$ySpJuJeYkbOW4zq0ub0eHuxEV1hpaJ0z6osJXNUgj1tSkAbAjpxsa,Абрамов,Дмитрий,2008-01-01,Бузулук
